estado_tareas_Completo,estado_tareas_NoCompleto,estado_tareas_Parcial,indice_asistencia_Alta,indice_asistencia_Baja,indice_asistencia_Media,horas_sueno_Adecuado,horas_sueno_Corto,horas_sueno_Largo,tiempo_redes_Alto,tiempo_redes_Bajo,tiempo_redes_Moderado,horas_estudio_Altas,horas_estudio_Bajas,horas_estudio_Medias,participacion_clase_Alta,participacion_clase_Baja,participacion_clase_Media,participacion_clase_muyAlta,participacion_clase_muyBaja,motivacion_Alta,motivacion_Baja,motivacion_Media,motivacion_muyAlta,motivacion_muyBaja,nivel_estres_Alto,nivel_estres_Bajo,nivel_estres_Moderado,apoyo_familiar_Alta,apoyo_familiar_Baja,apoyo_familiar_Media,ansiedad_examen_Alta,ansiedad_examen_Bajo,ansiedad_examen_Media,procrastinacion_constante,procrastinacion_frecuente,procrastinacion_minimo,procrastinacion_ocasional,dispositivo_propio_comparte,dispositivo_propio_noTiene,dispositivo_propio_si,tecnologia_educativa_Frecuente,tecnologia_educativa_NoUsa,tecnologia_educativa_Ocasional,acceso_internet_Aveces,acceso_internet_NoTiene,acceso_internet_Siempre,target
0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,2
0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,2
1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,2
0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1
0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1
0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,2
1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2
1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,2
1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,2
0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1
